"","Estimate","Est.Error","Q2.5","Q97.5","iso3c"
"DOM",-0.00985610082126395,0.0445213674602756,-0.0966312775467597,0.0774323281760196,"DOM"
"DZA",0.0838182132847961,0.0438334103420405,-0.00354283382351053,0.170787771279322,"DZA"
"ECU",0.0809932640594218,0.0454152716080354,-0.00980850984956515,0.169027756479163,"ECU"
"EGY",0.0841976279434512,0.0460293106299296,-0.00791164747472404,0.175085143410743,"EGY"
"ERI",-0.0205965706263751,0.0436327834923459,-0.101524165610356,0.0678921721805046,"ERI"
"EST",0.139653606236401,0.0970924743097936,-0.0458010387420442,0.333658118176951,"EST"
"ETH",-0.0503138722195042,0.0484782649209608,-0.147993182032522,0.0470374321339144,"ETH"
"FJI",0.0882753990931954,0.0456639183529987,-0.00104992003058646,0.180698220275491,"FJI"
"GAB",-0.175055596747802,0.045136973276044,-0.262868263389082,-0.087178564247312,"GAB"
"GEO",0.0946407019721946,0.0447289295235601,0.00528171316586511,0.181723242614255,"GEO"
"GHA",-0.021577821225843,0.0458503343939669,-0.11273543451985,0.0703716596090587,"GHA"
"GIN",0.0419832212207724,0.0435770362883908,-0.0403097031987824,0.128834267372444,"GIN"
"GMB",0.0899053825674771,0.0442545879236759,0.00237304716192474,0.175357312466751,"GMB"
"GNB",0.0401583996833426,0.0446245293842879,-0.0471058171665999,0.125266280124052,"GNB"
"GTM",0.0630433061036879,0.0441892754301893,-0.0235292886159157,0.149791622818292,"GTM"
"GUY",0.105646744768028,0.0457674185268977,0.01632729770721,0.195042501399114,"GUY"
"HND",0.0230475837438143,0.043807181099851,-0.06601682788518,0.106306971202772,"HND"
"HRV",0.0808800039519474,0.0672257439128479,-0.0556229658362782,0.214909688848899,"HRV"
"HTI",-0.0412206658981311,0.04536035626808,-0.130487654434311,0.045673173769119,"HTI"
"IDN",0.101052616549066,0.0450584833654931,0.0112706452004628,0.189631294353988,"IDN"
"IRN",0.0838083164001004,0.0453878248817585,-0.00664023952965628,0.173644844891165,"IRN"
"JAM",0.0418780234942329,0.0440012424767562,-0.0438784673001178,0.127033502291343,"JAM"
"JOR",0.0822830854424204,0.0435182190399305,-0.000984549917436036,0.166440090849368,"JOR"
"KAZ",0.0898782698355956,0.0451976484326624,0.00261910996460763,0.174916621799147,"KAZ"
"KEN",-0.476219439805041,0.0500703138776475,-0.571060776599842,-0.373678562212112,"KEN"
"KGZ",0.0949821767988984,0.0451162798169168,0.00208374445216087,0.181635090890803,"KGZ"
"KHM",0.0330843112883383,0.0440818479242229,-0.0529072688803961,0.11800758741589,"KHM"
"LAO",0.0924442113828398,0.0447838280830442,0.00525554367014229,0.179176831284199,"LAO"
"LBN",0.0811600677763211,0.0443792720059644,-0.00554449516343161,0.16748541118753,"LBN"
"LBR",-0.0665030547399194,0.0447851244951999,-0.152588607072354,0.0188096543202079,"LBR"
"LBY",0.0840657561991538,0.0447185050731733,-0.00151515941207951,0.174622144432383,"LBY"
"LKA",0.082331621475823,0.0438349699255512,-0.00168386506782676,0.167851516472317,"LKA"
"LSO",-0.335559420428763,0.0452959558217524,-0.425420630933834,-0.24622759799187,"LSO"
"MAR",0.0826396411398983,0.0448931917209484,-0.00374617508824832,0.171044789635796,"MAR"
"MDA",0.10190594996678,0.0440860039026053,0.0146503309223679,0.186042413369015,"MDA"
"MDG",0.0938183767437235,0.0456699501002178,0.00399784527857947,0.181269685356933,"MDG"
"MEX",0.0807955795016554,0.044820112988395,-0.00622510773814034,0.169924528026321,"MEX"
"MLI",-0.0208909006432107,0.0459423159848652,-0.109710991906244,0.0714160939573355,"MLI"
"MNE",0.0837954830477041,0.0446686646982847,-0.0040194569065834,0.168750985266507,"MNE"
"MNG",0.0834370563074682,0.0438578219266619,0.00239626390157252,0.17281190788293,"MNG"
"MOZ",0.197692576458839,0.0471172209361789,0.104140598417346,0.291881045203673,"MOZ"
